https://syrianarchive.org/database/42208,ALEPPO : Anadan,None,None,16/12/2016,Use of illegal weapons,Incendiary Weapons,Targeting Anadan town by napalm from alleged Russian warplanes - Aleppo
https://syrianarchive.org/database/42475,ALEPPO,None,None,16/12/2016,Arbitrary and forcible displacement,None,interview with the civilians who were evacuated  from Aleppo
https://syrianarchive.org/database/42252,ALEPPO,None,None,16/12/2016,Arbitrary and forcible displacement,None,Interview with survivors from an evacuation convoy after trapping it by the Syrian regime forces and Iranian militias. Reported casualties. Devices such as mobile phone being seized.
https://syrianarchive.org/database/42279,ALEPPO,None,None,16/12/2016,Arbitrary and forcible displacement,None,Injured civilian testifies about the suffering under the siege in Aleppo eastern neighborhoods
https://syrianarchive.org/database/42281,ALEPPO,None,None,16/12/2016,Arbitrary and forcible displacement,None,Interview with the civilians who were evacuated from Aleppo
https://syrianarchive.org/database/42256,ALEPPO,None,None,16/12/2016,Arbitrary and forcible displacement,None,Interview with a survivor from an evacuation convoy after trapping it by Syrian regime forces and Iranian militias
https://syrianarchive.org/database/42239,ALEPPO,None,None,16/12/2016,Arbitrary and forcible displacement,None,Interview with a survivor from an evacuation convoy
https://syrianarchive.org/database/42400,ALEPPO : Ramousah,None,None,16/12/2016,Unlawful attacks,None,Targeting an evacuation convoy from Syrian regime forces - Aleppo
https://syrianarchive.org/database/42034,ALEPPO,None,None,15/12/2016,Arbitrary and forcible displacement,None,interview with the civilians who were evacuated  from Aleppo
https://syrianarchive.org/database/42082,ALEPPO,None,None,15/12/2016,Unlawful attacks,None,Heavy shelling from Syrian regime warplanes before the arriving of evacuation convoy in Aleppo
https://syrianarchive.org/database/42097,ALEPPO,None,None,15/12/2016,Unlawful attacks,None,targeting an evacuation convoy by alleged Iranian militias - Aleppo
https://syrianarchive.org/database/42149,ALEPPO,None,None,15/12/2016,Unlawful attacks,None,a civil defence member testifies about shooting the vehicles which transport the injured from Syrian regime forces - Aleppo
https://syrianarchive.org/database/41916,ALEPPO,None,None,14/12/2016,Unlawful attacks,None,Syrian regime&#39;s warplanes breaches the truce by heavy shelling on Aleppo neighborhoods
https://syrianarchive.org/database/40847,ALEPPO : Karfur Mall,36.257754,37.095861,12/12/2016,Alleged civilian casualties from Russian attacks,None,The destruction in a mall after targeting it from alleged Russian airstrikes - Aleppo
https://syrianarchive.org/database/40686,ALEPPO : Ansari,None,None,11/12/2016,Use of illegal weapons,Incendiary Weapons,Incendiary bombs attack that targeted Aleppo city
https://syrianarchive.org/database/40583,ALEPPO : Bustan al-Qasr,None,None,10/12/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Casualties as a result of airstrikes with rockets and chlorine cylinder
https://syrianarchive.org/database/41140,ALEPPO : Kafar Karmin,None,None,08/12/2016,Specifically protected persons and objects,None,Civil defense members remove the remnants of 11 Surface-to-surface missiles which targeted a refugee camp in Kafr Karmin town - Aleppo countryside
https://syrianarchive.org/database/39954,ALEPPO : Al atarib,None,None,06/12/2016,Unlawful attacks,None,Airstrikes that targeted Aleppo countryside
https://syrianarchive.org/database/41147,ALEPPO : Al atarib,None,None,06/12/2016,Unlawful attacks,None,the destruction in a local market after targeting it with rockets in Al-Atarib town - Aleppo
https://syrianarchive.org/database/41148,ALEPPO : Kafar Nouran,None,None,06/12/2016,Specifically protected persons and objects,None,The destruction in a school after targeting it by thermobaric weapons in Kafr Nouran town - Aleppo
https://syrianarchive.org/database/41149,ALEPPO : Othmanyeh,None,None,05/12/2016,Unlawful attacks,None,Civil defense members remove the remnants of destruction after bombing in Aleppo countryside
https://syrianarchive.org/database/41151,ALEPPO : Abbin Samaan,None,None,05/12/2016,Unlawful attacks,None,The destruction in Abin town after targeting from alleged Russian airstrikes Aleppo countryside
https://syrianarchive.org/database/41153,ALEPPO,None,None,05/12/2016,Unlawful attacks,None,a child testifies about the heavy bombing on his town by thermobaric weapons - Aleppo
https://syrianarchive.org/database/41163,ALEPPO : Kafar Kalbin,None,None,03/12/2016,Unlawful attacks,None,Civilians suffering in Kafr Kalbien town because of bombing from PYD  - Aleppo
https://syrianarchive.org/database/39251,ALEPPO,None,None,01/12/2016,Unlawful attacks,None,heavy shelling on Aleppo neighborhoods by the warplanes
https://syrianarchive.org/database/39160,ALEPPO : Jib Al-Qubeh,None,None,30/11/2016,Unlawful attacks,None,Casualties of families that were trying to escape Syrian government attacks in Jeb Al Kebbeh district in Aleppo
https://syrianarchive.org/database/39154,ALEPPO : Jib Al-Qubeh,None,None,30/11/2016,Unlawful attacks,None,Casualties of families that were trying to escape Syrian government attacks in Jib Al Kebbeh district in Aleppo
https://syrianarchive.org/database/39074,ALEPPO : Jib Al-Qubeh,None,None,29/11/2016,Unlawful attacks,None,The civil defense team rescuing civilians in Jib Al Kebbeh district
https://syrianarchive.org/database/39077,ALEPPO : Jib Al-Qubeh,None,None,29/11/2016,Unlawful attacks,None,Casualties as a result of airstrikes in Jib Al Kebbeh district
https://syrianarchive.org/database/39079,ALEPPO : Jib Al-Qubeh,None,None,29/11/2016,Unlawful attacks,None,Rescuing civilians in Jib Al Kebbeh district in Aleppo
https://syrianarchive.org/database/39010,ALEPPO : Jib Al-Qubeh,None,None,29/11/2016,Unlawful attacks,None,The first moment of attacks against displaced families in Jib Al Kebbeh district in Aleppo
https://syrianarchive.org/database/39053,ALEPPO : Jib Al-Qubeh,None,None,29/11/2016,Unlawful attacks,None,Civilian house being destroyed
https://syrianarchive.org/database/40963,ALEPPO : Kafr hamrah,None,None,28/11/2016,Unlawful attacks,None,Destruction in Kafar Hamra police station as a result of airstrikes
https://syrianarchive.org/database/38879,ALEPPO : Maysser,None,None,28/11/2016,Violation of children&#39;s rights,None,Two children casualties as a result of airstrikes
https://syrianarchive.org/database/38891,ALEPPO : Mansoura,None,None,28/11/2016,Unlawful attacks,None,Industrial area being targeted by airstrikes
https://syrianarchive.org/database/38935,ALEPPO : Tal msebeen,None,None,28/11/2016,Unlawful attacks,None,Claimed Russian airstrikes that targeted Aleppo countryside
https://syrianarchive.org/database/38939,ALEPPO : Tal msebeen,None,None,28/11/2016,Alleged civilian casualties from Russian attacks,None,The moment of claimed Russian airstrike that targeted Aleppo countryside
https://syrianarchive.org/database/38916,ALEPPO : Kafar Karmin,None,None,28/11/2016,Use of illegal weapons,"Cluster Munition, AO-2.5RT/RTM",Cluster bomb attacks that targeted Kafar Karmeen
https://syrianarchive.org/database/38913,ALEPPO : Seif al-Dawleh,None,None,28/11/2016,Unlawful attacks,None,Destruction in Saif Al-Dawleh as a result of airstrikes
https://syrianarchive.org/database/38938,ALEPPO : Hayyan,None,None,28/11/2016,Unlawful attacks,None,Airstrikes that targeted Hayyan
https://syrianarchive.org/database/38765,ALEPPO : Bustan al-Qasr,None,None,27/11/2016,Unlawful attacks,None,Destruction in Bustan Al Qaser as a result airstrikes
https://syrianarchive.org/database/38779,ALEPPO : Mashhad,None,None,27/11/2016,Unlawful attacks,None,First moments of attacks in Al-Mashhad district
https://syrianarchive.org/database/38781,ALEPPO,None,None,27/11/2016,Unlawful attacks,None,Claimed Russian airstrike that targeted the building of revolutionary union in Aleppo
https://syrianarchive.org/database/38693,ALEPPO : Anjara,None,None,27/11/2016,Unlawful attacks,None,Civilian casualties as a result of airstrikes in Anjara
https://syrianarchive.org/database/38762,ALEPPO : Ra&#39;ai,None,None,27/11/2016,Unlawful attacks,None,Casualties and injured as a result of a car bomb in Ra&#39;i
https://syrianarchive.org/database/38759,ALEPPO : Anjara,None,None,27/11/2016,Alleged civilian casualties from Russian attacks,None,Casualties as a result of claimed Russian airstrikes
https://syrianarchive.org/database/41181,ALEPPO : Anjara,None,None,27/11/2016,Unlawful attacks,None,17 casualties and many injured as a result airstrikes
https://syrianarchive.org/database/38721,ALEPPO : Anjara,None,None,27/11/2016,Unlawful attacks,None,Destruction as a result of airstrikes
https://syrianarchive.org/database/38735,ALEPPO : Anjara,None,None,27/11/2016,Unlawful attacks,None,Destruction as a result of airstrikes
https://syrianarchive.org/database/38741,ALEPPO : Teqad,None,None,27/11/2016,Unlawful attacks,None,Families looking for their children bodies under rubbles
https://syrianarchive.org/database/38720,ALEPPO : Anjara,None,None,27/11/2016,Unlawful attacks,None,Casualties and many injured in Anjara
https://syrianarchive.org/database/38739,ALEPPO : Rashiddin,None,None,27/11/2016,Unlawful attacks,None,Shelling that targeted Aleppo city
https://syrianarchive.org/database/38760,ALEPPO : Alshaar,None,None,27/11/2016,Unlawful attacks,None,Five civilians were injured as a result of airstrikes by the Syrian government
https://syrianarchive.org/database/46027,ALEPPO : Al Bab,None,None,27/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Injured civilians being transferred to Muaz Jirahi hospital as a result of chemical attacks
https://syrianarchive.org/database/46023,ALEPPO : Al Bab,None,None,27/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas","Nine injured civilians were treated at the Mohamed Wasim Muaz surgery hospital, which is also known as the Bab Al-Salameh hospital, as a result of an alleged chemical attack"
https://syrianarchive.org/database/46024,ALEPPO : Al Bab,None,None,27/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas","Nine injured civilians were treated at the Mohamed Wasim Muaz surgery hospital, which is also known as the Bab Al-Salameh hospital, as a result of an alleged chemical attack"
https://syrianarchive.org/database/46025,ALEPPO : Al Bab,None,None,27/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas","Nine injured civilians were treated at the Mohamed Wasim Muaz surgery hospital, which is also known as the Bab Al-Salameh hospital, as a result of an alleged chemical attack"
https://syrianarchive.org/database/46026,ALEPPO : Al Bab,None,None,27/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas","Nine injured civilians were treated at the Mohamed Wasim Muaz surgery hospital, which is also known as the Bab Al-Salameh hospital, as a result of an alleged chemical attack"
https://syrianarchive.org/database/46022,ALEPPO : Al Bab,None,None,27/11/2016,Use of illegal weapons,Chemical Weapons,Several suffocation cases in the suburb of Albab after chemical attacks in Aleppo countryside
https://syrianarchive.org/database/38705,ALEPPO : Maret Artiq,None,None,27/11/2016,Unlawful attacks,None,Civilian casualty as a result of shelling
https://syrianarchive.org/database/38659,ALEPPO : Alshaar,None,None,26/11/2016,Use of illegal weapons,Cluster Munition,15 casualties as a result of cluster munition attacks
https://syrianarchive.org/database/38616,ALEPPO : Mansoura,None,None,26/11/2016,Alleged civilian casualties from Russian attacks,None,Destruction in medicine factory as a result of claimed Russian airstrike
https://syrianarchive.org/database/38622,ALEPPO : Kafar beseen,None,None,26/11/2016,Unlawful attacks,Drone,Remnants of drone that targeted four civilians
https://syrianarchive.org/database/38628,ALEPPO : Mashhad,None,None,26/11/2016,Unlawful attacks,None,Destruction as a result of ballistic SSM missile that targeted Al-Mashhad district
https://syrianarchive.org/database/38602,ALEPPO : Mansoura,None,None,26/11/2016,Specifically protected persons and objects,None,Airstrikes that targeted Al-Mansoura which damaged al-shifaa medicine factory
https://syrianarchive.org/database/41184,ALEPPO : Mansoura,None,None,26/11/2016,Unlawful attacks,None,Destruction in Joued factory as a result of shelling
https://syrianarchive.org/database/41182,ALEPPO : Mansoura,None,None,26/11/2016,Specifically protected persons and objects,None,Destruction as a result of targeting al-shifaa medicine factory
https://syrianarchive.org/database/38624,ALEPPO : Alshaar,None,None,26/11/2016,Unlawful attacks,None,Destruction as as a result of airstrikes
https://syrianarchive.org/database/38619,ALEPPO : Karam al-Qaterji,None,None,26/11/2016,Violation of children&#39;s rights,None,Casualties and injured as a result of airstrikes
https://syrianarchive.org/database/38600,ALEPPO,None,None,26/11/2016,Unlawful attacks,None,Airstrikes that targeted the building of Aleppo revolutionary union
https://syrianarchive.org/database/38623,ALEPPO : Kafar beseen,None,None,26/11/2016,Unlawful attacks,Drone,Four casualties as a result of drone strike
https://syrianarchive.org/database/38674,ALEPPO : Teqad,None,None,26/11/2016,Unlawful attacks,None,10 casualties as a result of airstrikes
https://syrianarchive.org/database/38620,ALEPPO : Seif al-Dawleh,None,None,26/11/2016,Alleged civilian casualties from Russian attacks,None,One casualty and four injured as a result of claimed Russian airstrike
https://syrianarchive.org/database/38475,ALEPPO : Alshaar,None,None,25/11/2016,Unlawful attacks,None,Smoke as a result of shelling
https://syrianarchive.org/database/38438,ALEPPO : Mansoura,None,None,25/11/2016,Unlawful attacks,None,Four casualties of Mansoura factory workers as a result of airstrikes
https://syrianarchive.org/database/38524,ALEPPO : Alshaar,None,None,25/11/2016,Use of illegal weapons,Cluster Munition,Cluster bomb attacks that targeted Al-Sha&#39;ar district
https://syrianarchive.org/database/38544,ALEPPO : Alshaar,None,None,25/11/2016,Alleged civilian casualties from Russian attacks,None,Casualties as a result of claimed Russian airstrikes
https://syrianarchive.org/database/38549,ALEPPO : Mashhad,None,None,25/11/2016,Unlawful attacks,None,Casualties and injured as a result of airstrikes
https://syrianarchive.org/database/38453,ALEPPO : Mashhad,None,None,25/11/2016,Unlawful attacks,None,Destruction as a result of a ballistic missile that targeted Al-Mashhad district
https://syrianarchive.org/database/41774,ALEPPO : Mashhad,None,None,25/11/2016,Unlawful attacks,None,Destruction as a result of a ballistic missile that targeted Al-Mashhad district
https://syrianarchive.org/database/38474,ALEPPO : Kafar Naha,None,None,25/11/2016,Unlawful attacks,None,Casualties as a result of claimed Russian airstrike
https://syrianarchive.org/database/38437,ALEPPO : Sakhour,None,None,25/11/2016,Unlawful attacks,None,The civil defense team is rescuing a child and a man who were under rubbles
https://syrianarchive.org/database/41009,ALEPPO : Sheikh Maqsoud,None,None,25/11/2016,Use of illegal weapons,Chemical Weapons,Chemical attacks that targeted Sheikh Maqsoud district
https://syrianarchive.org/database/38439,ALEPPO : Anadan,None,None,25/11/2016,Unlawful attacks,None,The civil defense is extinguishing a fire as a result of night airstrikes
https://syrianarchive.org/database/38448,ALEPPO : Teqad,None,None,25/11/2016,Unlawful attacks,None,12 casualties as a result of airstrikes that targeted a mosque during Friday prayers
https://syrianarchive.org/database/38447,ALEPPO : Mansoura,None,None,25/11/2016,Unlawful attacks,None,Fire in Joued factory
https://syrianarchive.org/database/38494,ALEPPO : Bab Nayrab,None,None,25/11/2016,Use of illegal weapons,Cluster Munition,One casualty as a result of cluster munition attack
https://syrianarchive.org/database/38484,ALEPPO : Teqad,None,None,25/11/2016,Unlawful attacks,None,Ten casualties as a result of claimed Russian airstrikes
https://syrianarchive.org/database/38445,ALEPPO : Teqad,None,None,25/11/2016,Unlawful attacks,None,Destruction as a result of airstrikes
https://syrianarchive.org/database/38430,ALEPPO : Mashhad,None,None,25/11/2016,Unlawful attacks,None,Destruction as a result of a ballistic missile
https://syrianarchive.org/database/38428,ALEPPO : Mansoura,None,None,25/11/2016,Alleged civilian casualties from Russian attacks,None,Claimed Russian airstrikes in Al-Rashedeen and Al-Mansoura districts
https://syrianarchive.org/database/38446,ALEPPO : Mashhad,None,None,25/11/2016,Unlawful attacks,None,Five casualties and destruction as a result of airstrikes
https://syrianarchive.org/database/41188,ALEPPO : Teqad,None,None,25/11/2016,Alleged civilian casualties from Russian attacks,None,Seven casualties and destruction as a result of claimed Russian airstrikes
https://syrianarchive.org/database/38466,ALEPPO : Teqad,None,None,25/11/2016,Unlawful attacks,None,Seven casualties and destruction as a result of airstrikes
https://syrianarchive.org/database/38444,ALEPPO : Teqad,None,None,25/11/2016,Unlawful attacks,None,One casualty as a result of an airstrike
https://syrianarchive.org/database/46021,ALEPPO : Sheikh Maqsoud,None,None,25/11/2016,Use of illegal weapons,Chemical Weapons,Shelling with chemical weapons that targeted Sheikh Maqsoud
https://syrianarchive.org/database/38487,ALEPPO : Mashhad,None,None,25/11/2016,Unlawful attacks,None,14 casualties as a result of claimed Russian airstrike
https://syrianarchive.org/database/38340,ALEPPO : Yaqed Al Adas,None,None,24/11/2016,Alleged civilian casualties from Russian attacks,None,Destruction as a result of airstrikes in Aleppo countryside
https://syrianarchive.org/database/38346,ALEPPO : Harithan,None,None,24/11/2016,Alleged civilian casualties from Russian attacks,None,Heavy bombings on Aleppo by Russian warplanes
https://syrianarchive.org/database/38383,ALEPPO : Jazmati,None,None,24/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Chlorine gas widespread from unexploded barrel bomb
https://syrianarchive.org/database/38385,ALEPPO,None,None,24/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas","Aleppo targeted by all kinds of weapons, including chlorine gas"
https://syrianarchive.org/database/38286,ALEPPO : Maret Artiq,None,None,24/11/2016,Unlawful attacks,None,First moments of barrel and vacuum bombs on Aleppo countryside
https://syrianarchive.org/database/38344,ALEPPO : Bab Nayrab,None,None,24/11/2016,Use of illegal weapons,Cluster Munition,Fire in a bakery sprinkle to cars in Aleppo district as result of a cluster bomb attack
https://syrianarchive.org/database/38337,ALEPPO : Bab Nayrab,None,None,24/11/2016,Violation of children&#39;s rights,None,First moments of bombing and victims recovered in Bab al-Nairab district in Aleppo city
https://syrianarchive.org/database/38352,ALEPPO : Bab Nayrab,None,None,24/11/2016,Unlawful attacks,None,The Civil Defense rescues a child in Bab al-Nairab district
https://syrianarchive.org/database/38294,ALEPPO : Masaken Al Baladyeh,None,None,24/11/2016,Unlawful attacks,9M79M Tochka,Unexploded missiles dropped by Russian and regime forces on Aleppo
https://syrianarchive.org/database/38341,ALEPPO : Kafar Naha,None,None,24/11/2016,Unlawful attacks,None,Destruction caused by bombings on Aleppo countryside - Kafar Naha
https://syrianarchive.org/database/38276,ALEPPO : Bab Nayrab,None,None,24/11/2016,Unlawful attacks,None,Rocket dropped on Bab al-Nairab and victims trapped beneath the rubble
https://syrianarchive.org/database/38292,ALEPPO : Bab Nayrab,None,None,24/11/2016,Unlawful attacks,None,Child rescued from the rubble by the Civil Defense group in Aleppo city
https://syrianarchive.org/database/38258,ALEPPO : Anadan,None,None,24/11/2016,Unlawful attacks,None,Barrel bombs on Anadan and Ma&#39;arrat al-Artik - Aleppo countryside
https://syrianarchive.org/database/38293,ALEPPO : Bab Road,None,None,24/11/2016,Unlawful attacks,None,5 casualties including a woman as result of the airstrike in Al Bab road district
https://syrianarchive.org/database/38326,ALEPPO : Maysser,None,None,24/11/2016,Unlawful attacks,None,&quot;Ballistic&quot; missile falls on Aleppo
https://syrianarchive.org/database/38329,ALEPPO : Karam al-Qaterji,None,None,24/11/2016,Unlawful attacks,None,5 casualties including a woman as result of regime bombings in Aleppo
https://syrianarchive.org/database/38287,ALEPPO : Kafar Naha,None,None,24/11/2016,Unlawful attacks,None,Civil Defense rescues a victim from under the rubbles in Kafr Naha
https://syrianarchive.org/database/38335,ALEPPO : Alshaar,None,None,24/11/2016,Unlawful attacks,None,Destruction as a result of airstrikes that targeted Aleppo city
https://syrianarchive.org/database/38278,ALEPPO : Karam al-Beek,None,None,24/11/2016,Unlawful attacks,None,Destruction as a result of rockets dropped by air-force which targeted Aleppo city
https://syrianarchive.org/database/38277,ALEPPO : Alshaar,None,None,24/11/2016,Unlawful attacks,None,First moments of bombing on al-Shaar and rescue of the wounded
https://syrianarchive.org/database/38169,ALEPPO : Balleramoun,None,None,23/11/2016,Unlawful attacks,None,Shelling that targeted Aleppo countryside
https://syrianarchive.org/database/38195,ALEPPO : Kafr hamrah,None,None,23/11/2016,Unlawful attacks,None,Airstrikes target Kafr Hamra in North Aleppo
https://syrianarchive.org/database/38197,ALEPPO : Maret Artiq,None,None,23/11/2016,Other,None,Russian air bombing on Ma&#39;arrat al-Artik - Aleppo countryside
https://syrianarchive.org/database/41775,ALEPPO : Jazmati,None,None,23/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Suffocation cases and use of chlorine gas cylinder
https://syrianarchive.org/database/38295,ALEPPO : Jazmati,None,None,23/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Testimonies about chlorine gas attack that targeted Aleppo city
https://syrianarchive.org/database/38163,ALEPPO : Alshaar,None,None,23/11/2016,Other,None,Regime bombardment on public transports district - Aleppo
https://syrianarchive.org/database/38136,ALEPPO : Al-Fardos,None,None,23/11/2016,Other,None,Destruction created by vacuum bombs on Fardus quarter - Aleppo
https://syrianarchive.org/database/38162,ALEPPO : Kafar Naha,None,None,23/11/2016,Other,None,Airstrikes on Kafr Naha - Aleppo countryside
https://syrianarchive.org/database/38137,ALEPPO : Dahret Awad,None,None,23/11/2016,Other,None,"Destruction of Dahret Awad, Aleppo, after heavy rockets shelling"
https://syrianarchive.org/database/38180,ALEPPO : Al-Fardos,None,None,23/11/2016,Other,None,7 casualties as result of regime airstrikes on Fardus quarter - Aleppo
https://syrianarchive.org/database/38140,ALEPPO : Bab Road,36.206361,37.192694,23/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Evidence of planes dropping toxic gases produced by a Jordanian company
https://syrianarchive.org/database/41779,ALEPPO,None,None,23/11/2016,Other,None,Bombing lights on Aleppo
https://syrianarchive.org/database/41190,ALEPPO : Kafar Naha,None,None,23/11/2016,Other,None,Destruction as result of the heavy shellings on the Friday market of the town of Kfar Naha - Aleppo
https://syrianarchive.org/database/38143,ALEPPO : Alshaar,None,None,23/11/2016,Other,None,Destruction caused by bunker-buster bomb on public transports district
https://syrianarchive.org/database/38178,ALEPPO : Alshaar,None,None,23/11/2016,Other,None,Russian airplanes drop bunker-buster bomb on public transports district
https://syrianarchive.org/database/38227,ALEPPO,None,None,23/11/2016,Other,None,Health conditions inside besieged Aleppo after heavy shellings
https://syrianarchive.org/database/38161,ALEPPO : Kafar Naha,None,None,23/11/2016,Other,None,Aviation drops rockets on Kafr Naha - Aleppo countryside
https://syrianarchive.org/database/38115,ALEPPO : Masaken Hanano,None,None,22/11/2016,Other,None,Bombing on Msaken Hanano
https://syrianarchive.org/database/37975,IDLIB : Binnish,None,None,22/11/2016,Other,None,"Destruction of Binnish, Idlib countryside, coused by 4 airstrikes"
https://syrianarchive.org/database/38025,ALEPPO : Batbo,None,None,22/11/2016,Other,None,Destruction caused by ballistic missile on Batabo - Aleppo
https://syrianarchive.org/database/37979,ALEPPO : Maysser,None,None,22/11/2016,Unlawful attacks,None,Al-Myassar - Aleppo
https://syrianarchive.org/database/41782,ALEPPO : Masaken Hanano,None,None,22/11/2016,Other,None,Helicopter drops barrel bomb on Msaken Hanano
https://syrianarchive.org/database/41780,ALEPPO : Maysser,None,None,22/11/2016,Unlawful attacks,None,Father cries his son who died on the airstrike at al-Myassar
https://syrianarchive.org/database/38045,ALEPPO : Maysser,None,None,22/11/2016,Unlawful attacks,None,First moments of rescuing a child from the rubble in al-Myassar - Aleppo
https://syrianarchive.org/database/37990,ALEPPO : Ma&#39;adi,None,None,22/11/2016,Other,None,Destruction in al-Maany after barrel bombings that caused 9 casualties
https://syrianarchive.org/database/41781,ALEPPO : Dahret Awad,None,None,22/11/2016,Use of illegal weapons,"Chemical Weapons, Chlorine Gas",Helicopter drops barrel bombs filled with chlorin gas on Dahret Awad
